titre,slug,categorie,departements,audiences,delai,cout,statut,summary_falc,pour_qui,ou_faire,etapes
"Demander la carte Fluo - Transport Alsace","carte-fluo-alsace",mobilite,67|68,tous,15 jours,Gratuit,publie,"Avoir une carte pour voyager en train moins cher en Alsace.","Toutes les personnes habitant dans le Grand Est.","Sur le site internet de la SNCF Fluo Grand Est.","[{""numero"": 1, ""titre"": ""Préparer les pièces"", ""description"": ""Photo d'identité et justificatif de domicile.""}|{""numero"": 2, ""titre"": ""Remplir le formulaire"", ""description"": ""Allez sur le site fluo.eu et remplissez vos informations.""}]"
"Inscription au CCAS de ma commune","inscription-ccas",budget,67|68,tous,Immédiat,Gratuit,publie,"Se faire connaître de la mairie pour avoir des aides.","Toute personne habitant dans la commune.","À la mairie de votre domicile.","[{""numero"": 1, ""titre"": ""Aller à la mairie"", ""description"": ""Demandez le bureau du CCAS (Centre Communal d'Action Sociale).""}|{""numero"": 2, ""titre"": ""Donner vos papiers"", ""description"": ""Carte d'identité et quittance de loyer.""}]"
"Demande de Logement Social (Hlm) en ligne","demande-hlm-67-68",logement,67|68,tous,Plusieurs mois,Gratuit,publie,"S'inscrire pour avoir un appartement à loyer modéré.","Ceux qui ont des revenus limités.","Sur demande-logement-social.gouv.fr.","[{""numero"": 1, ""titre"": ""Créer un compte"", ""description"": ""Utilisez une adresse email valide.""}|{""numero"": 2, ""titre"": ""Numéro unique"", ""description"": ""Vous recevrez un numéro à garder précieusement.""}]"
"Pass Culture - Jeunes de 15 à 18 ans","pass-culture-jeunes",famille,67|68,jeunes,24h,Offert,publie,"Avoir de l'argent pour des livres, des concerts ou des expos.","Les jeunes résidant en France.","Sur l'application Pass Culture.","[{""numero"": 1, ""titre"": ""Télécharger l'appli"", ""description"": ""Cherchez 'Pass Culture' sur votre téléphone.""}|{""numero"": 2, ""titre"": ""Validation"", ""description"": ""Prenez votre pièce d'identité en photo.""}]"
"Renouvellement Pôle Emploi (France Travail)","actualisation-france-travail",emploi,67|68,demandeurs_emploi,Immédiat,Gratuit,publie,"Dire qu'on cherche toujours du travail pour garder ses aides.","Les personnes inscrites à France Travail.","Sur l'application ou le site France Travail.","[{""numero"": 1, ""titre"": ""Se connecter"", ""description"": ""Entre le 28 et le 15 de chaque mois.""}|{""numero"": 2, ""titre"": ""Déclarer"", ""description"": ""Dites si vous avez travaillé ce mois-ci.""}]"
"Demander la CMU (Complémentaire Santé Solidaire)","demande-c2s",sante,67|68,tous,1 mois,Gratuit,publie,"Avoir une mutuelle gratuite pour aller chez le médecin.","Ceux qui gagnent moins de 800€ par mois (environ).","Sur votre compte Ameli ou à la CPAM.","[{""numero"": 1, ""titre"": ""Remplir le dossier"", ""description"": ""Donnez vos revenus de l'année dernière.""}|{""numero"": 2, ""titre"": ""Choisir l'organisme"", ""description"": ""Choisissez qui va gérer votre mutuelle.""}]"
"Prime d'activité - Déclaration trimestrielle","prime-activite-caf",budget,67|68,travailleurs,Immédiat,Gratuit,publie,"Déclarer ses revenus pour avoir le complément de salaire.","Les travailleurs avec des revenus modestes.","Sur le site caf.fr.","[{""numero"": 1, ""titre"": ""Espace mon compte"", ""description"": ""Connectez-vous tous les 3 mois.""}|{""numero"": 2, ""titre"": ""Valider"", ""description"": ""Vérifiez que les montants inscrits sont les bons.""}]"
"Prendre RDV avec un assistant social (CeA)","rdv-social-alsace",vieillissement,67|68,tous,7-10 jours,Gratuit,publie,"Rencontrer un professionnel pour parler de ses problèmes.","Tout Alsacien en difficulté.","Par téléphone à l'Espace Solidarité le plus proche.","[{""numero"": 1, ""titre"": ""Trouver le numéro"", ""description"": ""Cherchez 'Espace Solidarité' sur le site alsace.eu.""}|{""numero"": 2, ""titre"": ""Appeler"", ""description"": ""Expliquez brièvement votre situation pour avoir un RDV.""}]"
"Aides de la MDPH - Dossier papier ou web","dossier-mdph-67-68",handicap,67|68,handicap,4-6 mois,Gratuit,publie,"Demander la reconnaissance de handicap ou des aides financières.","Personnes avec un problème de santé durable.","À la MDPH de Strasbourg ou Colmar.","[{""numero"": 1, ""titre"": ""Certificat médical"", ""description"": ""Faites remplir le document par votre médecin traitant.""}|{""numero"": 2, ""titre"": ""Projet de vie"", ""description"": ""Écrivez ce dont vous avez besoin pour vivre mieux.""}]"
"Titres de séjour - Prise de RDV préfecture","rdv-titre-sejour-67",etrangers,67,etrangers,Variable (difficile),Gratuit,publie,"Prendre rendez-vous pour renouveler ses papiers.","Etrangers résidant dans le Bas-Rhin.","Sur le site de la Préfecture du Bas-Rhin.","[{""numero"": 1, ""titre"": ""Guetter les créneaux"", ""description"": ""Connectez-vous souvent sur le site de la préfecture.""}|{""numero"": 2, ""titre"": ""Confirmation"", ""description"": ""Validez le lien reçu par email dans les 15 minutes.""}]"
