nom,slug,type_structure,adresse,code_postal,ville,departement,telephone,email,site_web,statut,summary_falc
"Secours Catholique - Antenne Strasbourg","secours-catholique-strasbourg",association,"11 rue du Parchemin",67000,Strasbourg,67,0388220000,alsace@secours-catholique.org,https://alsace.secours-catholique.org,actif,"Accueil et aide pour les personnes pauvres."
"Restos du Coeur - Mulhouse","restos-du-coeur-mulhouse",association,"15 Rue de l'Ill",68100,Mulhouse,68,0389450000,ad68.siege@restosducoeur.org,https://ad68.restosducoeur.org,actif,"Distribution de repas et aide alimentaire."
"Emmaüs Connect - Point de Strasbourg","emmaus-connect-strasbourg",association,"20 rue de la Division Leclerc",67000,Strasbourg,67,0180053333,strasbourg@emmaus-connect.org,https://emmaus-connect.org,actif,"Aide pour apprendre l'informatique et matériel pas cher."
"CAF du Bas-Rhin - Siège Strasbourg","caf-du-bas-rhin",service_public,"18 rue de Berne",67000,Strasbourg,67,3230,,https://www.caf.fr/allocataires/caf-du-bas-rhin,actif,"L'organisme qui paye les aides pour la famille et le logement."
"CPAM du Haut-Rhin - Siège Colmar","cpam-du-haut-rhin",service_public,"26 Avenue de la République",68000,Colmar,68,3646,,https://www.ameli.fr,actif,"L'Assurance Maladie pour vos remboursements de santé."
"Mairie de Mulhouse - Service Social","mairie-mulhouse",mairie,"2 rue Pierre et Marie Curie",68100,Mulhouse,68,0389337000,,https://www.mulhouse.fr,actif,"La mairie et son aide pour les Mulhousiens."
"France Travail - Haguenau","france-travail-haguenau",france_travail,"18 rue du Château",67500,Haguenau,67,3949,,https://www.francetravail.fr,actif,"Lieu pour s'inscrire au chômage et trouver un emploi."
"MDPH du Bas-Rhin","mdph-du-bas-rhin",mdph,"6a Rue du Verdon",67000,Strasbourg,67,0368848000,mdph@alsace.eu,https://www.mdph67.fr,actif,"Pour les questions de handicap dans le 67."
"CCAS de Colmar","ccas-colmar",mairie,"1 place de la Mairie",68000,Colmar,68,0389206868,,https://www.colmar.fr,actif,"Aide locale pour les Colmariens en difficulté."
"Mission Locale de l'Eurométropole","mission-locale-strasbourg",association,"7 rue de la Brigade",67000,Strasbourg,67,0388373333,,https://www.ml-strasbourg.eu,actif,"Aide pour les jeunes de 16 à 25 ans (travail, santé, logement)."
"ADIE Alsace - Strasbourg","adie-alsace",association,"4 rue d'Ingwiller",67000,Strasbourg,67,0969328110,,https://www.adie.org,actif,"Prêts d'argent pour créer son emploi."
"ATMO Grand Est","atmo-grand-est",association,"5 rue de la Division Leclerc",67000,Strasbourg,67,0388376767,,https://www.atmo-grandest.eu,actif,"Information sur la qualité de l'air en Alsace."
"CIDFF du Bas-Rhin","cidff-du-bas-rhin",association,"24 rue du 22 Novembre",67000,Strasbourg,67,0388320303,,https://basrhin.cidff.info,actif,"Information sur les droits des femmes et des familles."
"Espace Solidarité - Sélestat","espace-solidarite-selestat",service_public,"1 rue de l'Hôpital",67600,Sélestat,67,0388588800,,https://www.alsace.eu,actif,"Service social du département pour le centre Alsace."
"Banque Alimentaire du Bas-Rhin","banque-alimentaire-67",association,"9 rue de l'Industrie",67400,Illkirch,67,0388403040,,https://ba67.banquealimentaire.org,actif,"Collecte et donne de la nourriture aux associations."
"UDAF du Haut-Rhin","udaf-haut-rhin",association,"7 rue de l'Abbé Lemire",68000,Colmar,68,0389201515,,https://www.udaf68.fr,actif,"Union des associations familiales."
"ARSEA - Service d'accueil","arsea-alsace",association,"9 rue de la Brigade",67000,Strasbourg,67,0388212150,,https://www.arsea.fr,actif,"Aide éducative et sociale pour enfants et adultes."
"Pôle Médico-Social - Saverne","pms-saverne",service_public,"3 quai du Château",67700,Saverne,67,0388716300,,https://www.alsace.eu,actif,"Accès aux droits et santé pour le secteur de Saverne."
"Fondation de l'Armée du Salut - Strasbourg","armee-du-salut-strasbourg",association,"11 rue des Magasins",67000,Strasbourg,67,0388320000,,https://www.armeedusalut.fr,actif,"Accueil, hébergement et aide alimentaire."
"Aide aux Victimes (VIA 67)","via-67-strasbourg",association,"13 rue du Tribunal",67000,Strasbourg,67,0388797930,,https://www.via67.fr,actif,"Aide juridique et psy pour les victimes de crimes."
